Hospital Name,Address,Doctors Number,Nurses,Total Beds,Patient Footfall (Monthly),Emergency Beds,Bed Occupancy (%),Appointments,Emergency Cases
Amrutvinayak Hospital,"B/H Kannamww Bridge, Mumbai Agra Highway, Dwarka, Nashik",25,40,120,2500,15,78.5,320,45
Ankur Maternity Home & Diagnostic Centre,"Plot No. 1, Vrundavan Nagar, Opp Sai Bharat Petrol Pump, Ambad, Nashik",10,20,35,800,5,65,90,12
Ashwini Accident Multispeciality Hospital,"Govindnagar Chowk No.5, Behind Hotel Prakash, Mumbai Naka, Nashik",18,30,75,1500,12,72.3,180,25
Birla Superspeciality Eye Hospital,"Riddhi Park, 2nd Floor, Nr Rajiv Gandhi Bhavan, Sharanpur Road, Nashik",8,12,25,600,2,70,75,5
Curie Manavata Cancer Centre,"Opp Mahamarg Bus Stand, Mumbai Naka, Nashik",20,35,80,1100,10,68.5,140,15
Deogaonkar Hospital,"Old Pandit Colony, Gangapur Road, Nashik",12,22,50,900,6,63,100,10
Dr. Bagul Hospital,"Near Prasad Circle, Maniknagar, Gangapur Road, Nashik",15,25,60,1200,8,70.2,130,18
Dr. Bapaye Hospital,"Behind NDCC Bank, Old Agra Road, Near CBS, Nashik",14,23,55,1100,7,68,115,12
Dr. Dahale Hospital,"Dsouza Colony, Near Hotel Sun, New Gangapur Naka, Nashik",9,16,40,750,4,60.5,80,7
Dr. Pimparikar Hospital,"Govindnagar Chowk, Behind Hotel Prakash, Mumbai Naka, Nashik",11,18,45,850,5,64,95,9
Dr. Suryawanshi Eye Hospital,"Near Hotel Sandeep, Old Agra Road, Nashik",7,10,20,500,2,68,60,4
Gaurav Accident Hospital,"Old Pandit Colony, Gangapur Road, Nashik",16,28,70,1400,10,71.5,160,20
Healing Touch Angiography & Cardiac Surgery Centre Pvt. Ltd.,"Gole Colony, Old Agra Road, Nashik",22,38,90,1300,12,75,180,22
Jantara Hospital,"Suyogit Sankul, 1st Floor, Sharanpur Road, Nashik",10,18,45,900,6,66,100,10
Joshi Nursing Home,"Plot No.21, Near Papaya Nursery, Trimbak Road, Satpur, Nashik",6,12,25,450,3,60,50,5
Karandikar Hospital,"Govind Nagar, Behind Prakash Petrol Pump, Nashik",12,20,50,950,5,65.5,110,8
Krishna Hospital & Critical Care Centre,"Umiya Apartment, Opp People’s Bank, Canada Corner Signal, Sharanpur Road, Nashik",18,32,80,1600,10,70,175,18
Kshitij Endoscopy Centre,"Plot No. 53/787, Near Ashwini Hospital, Govindnagar, Nashik",8,14,30,600,2,62.5,70,4
Kute Eye Hospital,"Shri Hari Kute Marg, Chandak Circle to Sandeep Hotel Link Road, Nashik",6,10,20,400,1,55,45,2
Lakshmi Clinic and Hospital,"Kardile Bhavan, Shani Chowk, Niphad, Nashik",5,8,18,350,1,50,40,1
Life Care Hospital,"Saptashrungi Complex, Lekha Nagar, Nashik",14,25,60,1200,8,69,130,15
Maharshi Heart & Critical Care Hospital,"Anand Nagar, Behind Muktidham, Datta Mandir Road, Nashik",20,36,85,1450,12,72.5,170,20
Maher Hospital,"Plot No.54, Lahoti Nagar, Behind Maule Hall, Satpur, Nashik",10,18,50,900,6,66,110,10
Malegaon Medical Research Foundation Pvt. Ltd.,"Mosum Pul, Malegaon, Nashik",12,22,55,950,7,68,115,12
MVPA Vasantrao Pawar Medical College,"Vasantdada Nagar, Adgoan, Nashik",30,50,150,3000,20,80,400,35
Navsanjeevani Hospital,"Plot No.8, Motkari Nagar, Behind Tupsakhare Lawn, Tidke Colony, Nashik",8,15,35,700,4,63,85,7
Nelson Memorial Children Hospital,"Near Mahamarg Bus Stand, Next to Tupasakhare Lawn, Tidke Colony, Nashik",6,12,25,500,2,60,55,4
Om Hospital,"Behind Regimental Plaza, Gaikwad Mala Road, Nashik Road, Nashik",15,28,70,1300,8,71,150,16
Prasanna Balrugnalay,"New Pandit Colony, Opp Old NMC, Sharanpur Road, Nashik",5,10,20,400,1,55,45,2
Rajebahadur Hospital & Research Centre Pvt. Ltd.,"Plot No.13-14/199, Rajebahadur Colony, Tilak Road, Nashik",18,32,80,1600,10,70,175,18
Ramalayam Hospital,"Dr. Gondkar Building, Near Panchavati Karanja, Nashik",12,22,55,1000,7,67.5,120,12
Sai Hospital,"Crown Complex, Sharanpur Road, Nashik",14,25,60,1200,8,69,130,14
Sanjeevani Hospital,"Opp Rural Hospital, Dindori, Nashik",10,18,45,850,5,65,95,8
Shivam Eye Hospital,"Deore Bhavan, Near Rishikesh Hospital, Gangapur Road, Nashik",7,12,25,500,2,60,55,3
Shree Balaji Super Speciality Hospital,"Opp Mhasoba Mandir, Deolali Gaon, Nashik Road, Nashik",20,38,85,1500,12,72,175,18
Shree Saibaba Heart Institute & Research Centre,"Near Kalidas Kala Mandir, Shalimar, Nashik",18,32,80,1400,10,70,160,15
Shreeyash Hospital,"Prasanna Colony, Behind Hotel Surya, Indiranagar, Nashik",10,18,50,900,6,66.5,110,10
Six Sigma Medicare & Research Ltd.,"Satgurus, Opp Water Tank, Mahatma Nagar, Nashik",15,28,70,1300,8,70,140,12
Sonawane Heart Care Hospital and Research Centre,"Shrihari Kute Marg, Near Baba Darga, Tidke Colony, Nashik",16,30,75,1400,10,71,150,15
Sonawane Hospital Yeola,"Paregaon Road, At Post Yeola, Tal. Yeola, Dist. Nashik",8,15,35,700,4,63,80,7
Sujata Birla Hospital & Medical Research Center,"Opp Bytco College, Nashik-Pune Road, Nashik Road, Nashik",18,32,80,1500,10,70,160,15
Sukhatme Maternity Home,"Ashtavinayak Apartment, Behind Dholya Ganpati Mandir, Ashok Stambh, Nashik",6,12,25,500,2,60,55,4
Surya Multispeciality Hospitals Pvt. Ltd.,"2nd Floor, Surya Arcade, Infront of Nimani Bus Stand, Panchavati, Nashik",20,36,85,1600,12,72.5,180,18
Surya Nursing Home,"Bytco Point, Behind Regimental Plaza, Nashik",8,15,35,700,4,63,85,6
Suvichar Hospital,"856/857, Ganesh Baba Nagar, Behind Hotel Siddarth, Nashik-Poona Road, Nashik",10,18,45,850,5,65.5,100,8
Suyog Hospital,"2nd Floor, Srushi Utpanna Bazar Samiti Sankul, Dindori Road, Panchavati, Nashik",12,22,50,950,6,67,110,10
Tanmayee Hospital,"Akshay Bungalow, Sainagar, RTO Corner, Dindori Road, Panchavati, Nashik",8,14,35,700,4,63.5,80,6
Trimurti Multispecialty Hospital,"2nd Floor, Purab Paschim Plaza, Near Divya Adlab, Trimurti Chowk, Cidco, Nashik",15,28,70,1300,8,70,140,12
Tulsi Eye Hospitals,"Happy Home Colony, Near Gen. Vaidya Nagar, Off Nashik-Pune Road, Nashik",6,12,25,500,2,60,55,3
Usha Hospital,"Bhujbal Farm Road, Mumbai Agra Road, Nashik",10,18,45,900,5,66,100,8
Vakratunda Multispeciality Hospital,"1st Floor, Ragukul Sankul, B/H Hotel Bandahurai, Sales Tax Office, Pathardi Phata, Nashik",12,22,50,950,6,67,110,10
Vijan Cardiac & Critical Care Centre,"Vijan Hospital, HPT College Road, Nashik",18,32,80,1400,10,70,160,15
Vijay Nursing Home,"Old Gangapur Naka, Near Khatib Dairy, Gangapur Road, Nashik",8,14,35,700,4,63,85,6
Vimal ENT Hospital,"2nd Floor, M.G. Road, Sathaye Baug, Nashik",7,12,25,500,2,60,55,3
Vishwesh Children’s Hospital,"Behind Tupsakhare Lawns, Mumbai Naka, Nashik",10,18,45,900,5,66,100,8
Wockhardt Hospitals Ltd.,"Plot No.39, Nr. Mumbai-Agra Road, Wadalanka, Nashik",25,45,120,2500,15,75,300,25
