ID,Drug1_Name,Drug1_CID,Drug1_DBID,Drug2_Name,Drug2_CID,Drug2_DBID,Y_Score,Risk_Label,NegSample,Chem_Sim,Same_Enzyme,SideEffect_Sim,Shared_Targets,ATC_Similarity
1,Memantine,CID477075,DB53270,Torsemide,CID556767,DB74410,634,High,No,0.09,0,0.46,4,0.69
2,Chlorthalidone,CID630227,DB67712,Hydroxychloroquine,CID134206,DB43319,674,High,No,0.75,0,0.12,3,0.88
3,Simvastatin,CID999127,DB80259,Ezetimibe,CID403120,DB48197,732,High,No,0.4,1,0.25,10,0.45
4,Sacubitril; Valsartan,CID830979,DB60248,Albuterol,CID521065,DB87523,262,Moderate,No,0.77,0,0.01,1,0.37
5,Oxycodone,CID323478,DB87527,Ethinyl Estradiol; Norgestrel,CID634220,DB12762,401,Moderate,No,0.85,1,0.62,5,0.6
6,Simvastatin,CID445406,DB63882,Ergocalciferol,CID431741,DB47950,693,High,No,0.78,0,0.17,7,0.38
7,Ethinyl Estradiol; Norethindrone,CID419551,DB83285,Levothyroxine,CID430589,DB96302,278,Moderate,No,0.28,0,0.77,4,0.28
8,Tamsulosin,CID975427,DB16761,Acetaminophen,CID146648,DB59575,362,Moderate,No,0.73,0,0.01,6,0.94
9,Clindamycin,CID457620,DB41013,Drospirenone; Ethinyl Estradiol,CID974477,DB89874,180,Low,No,0.48,0,0.38,0,0.19
10,Docusate,CID772692,DB84235,Polyethylene Glycol 3350,CID708861,DB68642,578,High,No,0.13,1,0.3,8,0.9
11,Esomeprazole,CID245274,DB82526,Hydroquinone,CID813021,DB63470,724,High,No,0.23,0,0.38,2,0.51
12,Insulin Human; Insulin Isophane Human,CID858453,DB90422,Sitagliptin,CID630332,DB58625,71,Low,No,0.98,0,0.72,7,0.42
13,Dexmethylphenidate,CID151499,DB91665,Prednisone,CID849623,DB42486,651,High,No,0.33,0,0.6,3,0.79
14,Hydrocortisone,CID21298,DB78372,Polyethylene Glycol 3350,CID30077,DB53254,222,Moderate,No,0.04,1,0.97,8,0.76
15,Empagliflozin,CID952010,DB40632,Gabapentin,CID575047,DB20049,56,Low,No,0.06,0,0.23,6,0.25
16,Acetaminophen,CID81854,DB81228,Zolpidem,CID857533,DB45308,197,Low,No,0.18,1,0.52,2,0.81
17,Nystatin,CID610895,DB10265,Progesterone,CID406905,DB65648,169,Low,No,0.7,0,0.35,5,0.81
18,Ethinyl Estradiol; Norelgestromin,CID30750,DB62725,Norethindrone,CID639554,DB45586,389,Moderate,No,0.69,0,0.81,7,0.93
19,Bupropion,CID767572,DB12277,Omeprazole,CID333953,DB80683,233,Moderate,No,0.27,1,0.59,3,0.74
20,Oseltamivir,CID65409,DB45646,Linagliptin,CID825536,DB51139,53,Low,No,0.12,0,0.97,0,0.73
21,Empagliflozin,CID878089,DB13040,Flecainide,CID423187,DB74394,154,Low,No,0.92,0,0.82,9,0.41
22,Lactulose,CID681739,DB96197,Torsemide,CID596166,DB32426,783,High,No,0.28,1,0.6,7,0.37
23,Norethindrone,CID347000,DB10689,Esomeprazole,CID194192,DB24222,84,Low,No,0.59,1,0.89,8,0.2
24,Liraglutide,CID923363,DB91789,Triamcinolone,CID660586,DB78901,760,High,No,0.12,0,0.32,0,0.63
25,Methotrexate,CID16945,DB17665,Ropinirole,CID925345,DB86318,569,High,No,0.41,0,0.78,1,0.81
26,Simvastatin,CID106881,DB59042,Ketotifen,CID512536,DB59669,769,High,No,0.2,0,0.96,1,0.31
27,Ascorbic Acid,CID166395,DB95553,Dorzolamide,CID419737,DB23494,606,High,No,0.76,0,0.14,7,0.49
28,Hydroxychloroquine,CID126901,DB69967,Atropine; Diphenoxylate,CID100502,DB91748,166,Low,No,0.31,1,0.82,7,1
29,Ferrous Sulfate,CID248841,DB44126,Acetaminophen; Codeine,CID975581,DB39464,72,Low,No,0.82,0,0.98,7,0.38
30,Adalimumab,CID666455,DB35659,Dexmethylphenidate,CID884896,DB62737,467,Moderate,No,0.49,1,0.18,10,0.58
31,Codeine; Guaifenesin,CID796096,DB46178,Metoclopramide,CID664535,DB61612,104,Low,No,0.23,0,0.47,8,0.41
32,Dexmethylphenidate,CID385340,DB77488,Hydrochlorothiazide; Triamterene,CID942480,DB21942,404,Moderate,No,0.61,0,0.12,7,0.06
33,Amiodarone,CID290199,DB97386,Spironolactone,CID909104,DB44159,204,Moderate,No,0.23,0,0.72,10,0.51
34,Doxycycline,CID743562,DB44348,Bumetanide,CID179856,DB34610,628,High,No,0.54,0,0.32,10,0.35
35,Polymyxin B; Trimethoprim,CID427489,DB64455,Codeine; Guaifenesin,CID829324,DB59735,111,Low,No,1,0,0.97,4,0.8
36,Hydrochlorothiazide; Lisinopril,CID132474,DB35367,Lidocaine,CID966498,DB42021,256,Moderate,No,0.61,1,0.39,6,0.59
37,Atenolol,CID887623,DB64266,Ethinyl Estradiol; Norethindrone,CID760179,DB75847,339,Moderate,No,0.2,0,0.4,6,0.4
38,Tamsulosin,CID237287,DB77098,Amoxicillin,CID784263,DB33498,54,Low,No,0.86,1,0.05,3,0.93
39,Terbinafine,CID13761,DB69930,Chlorhexidine,CID774359,DB72700,75,Low,No,0.34,0,0.75,6,0.63
40,Sacubitril; Valsartan,CID65236,DB86540,Oseltamivir,CID588204,DB74982,125,Low,No,0.81,1,0.93,9,0.86
41,Isosorbide,CID144136,DB94785,Amoxicillin; Clavulanate,CID245857,DB20170,535,High,No,0.64,0,0.21,8,0.26
42,Atropine; Diphenoxylate,CID914513,DB64030,Venlafaxine,CID214011,DB66877,144,Low,No,0.61,0,0.52,8,0.39
43,Bimatoprost,CID815741,DB32210,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID605294,DB57410,511,High,No,0.48,1,0.11,7,0.36
44,Dicyclomine,CID711941,DB36417,Prednisone,CID564847,DB33311,249,Moderate,No,0.57,1,0.55,3,0.62
45,Rosuvastatin,CID571293,DB19794,Acetaminophen,CID350487,DB25342,655,High,No,0.07,0,0.11,3,0.2
46,Riboflavin,CID844040,DB74823,Folic Acid,CID879834,DB50886,484,Moderate,No,0.74,0,0.47,2,0.78
47,Dorzolamide; Timolol,CID798656,DB99159,Clotrimazole,CID211919,DB67017,477,Moderate,No,0.61,0,0.33,8,0.3
48,Finasteride,CID854167,DB94488,Lithium,CID43209,DB25622,505,High,No,0.96,1,0.95,9,0.95
49,Magnesium Salts,CID334660,DB36407,Colchicine,CID839373,DB22605,352,Moderate,No,0.03,1,0.07,8,0.68
50,Budesonide,CID878096,DB56186,Acetaminophen,CID495098,DB77182,707,High,No,0.09,0,0.83,9,0.36
51,Nifedipine,CID999716,DB43385,Acetaminophen; Butalbital; Caffeine,CID575319,DB77098,554,High,No,0.31,0,0.68,9,0.16
52,Clobetasol,CID190191,DB57888,Benzonatate,CID608102,DB58856,365,Moderate,No,0.52,1,0.27,10,0.88
53,Etodolac,CID590833,DB47243,Albuterol,CID109227,DB84725,191,Low,No,0.95,1,0.43,3,0.9
54,Indomethacin,CID897309,DB85831,Cholecalciferol,CID687790,DB44733,562,High,No,0.9,0,0.08,10,0.14
55,Valacyclovir,CID567788,DB16191,Budesonide,CID479807,DB97553,374,Moderate,No,0.92,1,0.8,8,0.07
56,Nebivolol,CID41901,DB61136,Dutasteride,CID864620,DB96400,527,High,No,0.73,0,0.48,8,0.47
57,Anastrozole,CID44238,DB49624,Amlodipine,CID674474,DB18479,201,Moderate,No,0.26,1,0.48,9,0.92
58,Bimatoprost,CID715525,DB38698,Emtricitabine; Tenofovir,CID203179,DB44199,18,Safe,Yes,0.77,1,0.58,10,0.68
59,Benazepril,CID205320,DB88227,Tiotropium,CID542492,DB86180,365,Moderate,No,0.16,1,0.71,9,0.45
60,Mirabegron,CID88958,DB74412,Dexamethasone; Neomycin; Polymyxin B,CID791661,DB48055,772,High,No,0.05,1,0.54,7,0.69
61,Nystatin,CID492611,DB39203,Sacubitril; Valsartan,CID505399,DB45109,604,High,No,0.67,0,0.44,4,0.69
62,Budesonide,CID445880,DB71098,Clobetasol,CID213120,DB61808,773,High,No,0.91,1,0.04,0,0.45
63,Bumetanide,CID296658,DB48097,Irbesartan,CID250746,DB85938,602,High,No,0.59,1,0.14,7,0.59
64,Loperamide,CID940811,DB92649,Glimepiride,CID1847,DB70935,186,Low,No,0.76,1,0.47,6,0.37
65,Riboflavin,CID47043,DB80905,Brimonidine,CID519933,DB34448,572,High,No,0.21,0,0.97,7,0.41
66,Hydrochlorothiazide; Triamterene,CID319982,DB28893,Primidone,CID191923,DB42525,497,Moderate,No,0.33,0,0.74,6,0.7
67,Clindamycin,CID688290,DB75720,Calcitriol,CID901636,DB43979,453,Moderate,No,0.69,1,0.74,2,0.76
